date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:20	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2025%20Dec%202018%2011:17:19%20GMT	http://localhost:8080/robots.txt		(from )
09:17:20	28842/28842	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:20%20GMT	http://localhost:8080/	/home/thiago/websites/jeova/localhost_8080/index.html	(from )
09:17:22	5842/5842	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:20%20GMT	http://gmpg.org/xfn/11	/home/thiago/websites/jeova/gmpg.org/xfn/11.html	(from http://localhost:8080/)
09:17:22	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2025%20Dec%202018%2011:17:22%20GMT	http://localhost:8080/xmlrpc.php	/home/thiago/websites/jeova/localhost_8080/xmlrpc.php	(from http://localhost:8080/)
09:17:23	25571/25571	---M-Z	200	added ('OK')	text/css	etag:%2263e3-57bdedc44b600-gzip%22	http://localhost:8080/wp-includes/css/dist/block-library/style.min.css?ver=5.0.2	/home/thiago/websites/jeova/localhost_8080/wp-includes/css/dist/block-library/style.mince52.css	(from http://localhost:8080/)
09:17:24	738/738	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f7a0500247604b1aaeb3e88ee7040f22-gzip%22	http://localhost:8080/comments/feed/	/home/thiago/websites/jeova/localhost_8080/comments/feed/index.html	(from http://localhost:8080/)
09:17:24	841/841	---M-Z	200	added ('OK')	application/rss+xml	etag:%22129f372395ec4c484bae0d396b575589-gzip%22	http://localhost:8080/feed/	/home/thiago/websites/jeova/localhost_8080/feed/index.html	(from http://localhost:8080/)
09:17:24	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2025%20Dec%202018%2011:17:24%20GMT	http://s.w.org/	/home/thiago/websites/jeova/s.w.org/index.html	(from http://localhost:8080/)
09:17:24	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Dec%202018%2011:17:24%20GMT	http://fonts.googleapis.com/	/home/thiago/websites/jeova/fonts.googleapis.com/index.html	(from http://localhost:8080/)
09:17:25	1380/1380	---MC-	200	added ('OK')	text/css	date:Tue,%2025%20Dec%202018%2011:17:25%20GMT	http://fonts.googleapis.com/css?family=Lato%3A300%2C400%2C700%2C400italic%7CMontserrat%3A700%7CHomemade+Apple&subset=latin%2Clatin-ext	/home/thiago/websites/jeova/fonts.googleapis.com/cssc185.css	(from http://localhost:8080/)
09:17:26	2499/2499	---MC-	200	added ('OK')	text/css	date:Tue,%2025%20Dec%202018%2011:17:26%20GMT	http://fonts.googleapis.com/css?family=Open+Sans%3A400%2C300%2C300italic%2C400italic%2C600italic%2C600%2C700%2C700italic%2C800%2C800italic&ver=5.0.2	/home/thiago/websites/jeova/fonts.googleapis.com/css0a0d.css	(from http://localhost:8080/)
09:17:27	90692/90692	---M-Z	200	added ('OK')	text/css	etag:%2216244-57da2604e6189-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/css/bootstrap.css?ver=5.0.2	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/css/bootstrapce52.css	(from http://localhost:8080/)
09:17:28	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%2255e0-57da2604e6189-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/css/font-awesome.min.css?ver=v1	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/css/font-awesome.mind3b3.css	(from http://localhost:8080/)
09:17:29	240/240	---M-Z	200	added ('OK')	text/css	etag:%22f0-57da26046433b-gzip%22	http://localhost:8080/wp-content/themes/thiago/style.css?ver=v1	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/thiago/styled3b3.css	(from http://localhost:8080/)
09:17:30	2381/2381	---M-Z	200	added ('OK')	text/css	etag:%2294d-57da2604e906b-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/css/responsive.css?ver=v1	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/css/responsived3b3.css	(from http://localhost:8080/)
09:17:31	129875/129875	---M-Z	200	added ('OK')	text/css	etag:%221fb53-57da2604df427-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/style.css?ver=5.0.2	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/stylece52.css	(from http://localhost:8080/)
09:17:32	2312/2312	---M-Z	200	added ('OK')	text/css	etag:%22908-57da26046339b-gzip%22	http://localhost:8080/wp-content/themes/thiago/custom.css?ver=5.0.2	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/thiago/customce52.css	(from http://localhost:8080/)
09:17:35	97184/97184	---M-Z	200	added ('OK')	application/javascript	etag:%2217ba0-5337eac0d4540-gzip%22	http://localhost:8080/wp-includes/js/jquery/jquery.js?ver=1.12.4	/home/thiago/websites/jeova/localhost_8080/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost:8080/)
09:17:35	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400-gzip%22	http://localhost:8080/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/thiago/websites/jeova/localhost_8080/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost:8080/)
09:17:35	818/818	---M-Z	200	added ('OK')	text/xml	date:Tue,%2025%20Dec%202018%2011:17:35%20GMT	http://localhost:8080/xmlrpc.php?rsd	/home/thiago/websites/jeova/localhost_8080/xmlrpc0db0.php	(from http://localhost:8080/)
09:17:36	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://localhost:8080/wp-includes/wlwmanifest.xml	/home/thiago/websites/jeova/localhost_8080/wp-includes/wlwmanifest.xml	(from http://localhost:8080/)
09:17:37	2295/2295	---M--	200	added ('OK')	application/json	date:Tue,%2025%20Dec%202018%2011:17:37%20GMT	http://localhost:8080/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2F	/home/thiago/websites/jeova/localhost_8080/wp-json/oembed/1.0/embed2f5c.json	(from http://localhost:8080/)
09:17:39	2394/2394	---M-Z	200	added ('OK')	text/xml	date:Tue,%2025%20Dec%202018%2011:17:38%20GMT	http://localhost:8080/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2F&format=xml	/home/thiago/websites/jeova/localhost_8080/wp-json/oembed/1.0/embed698f	(from http://localhost:8080/)
09:17:43	78076/78076	---MC-	200	added ('OK')	application/json	date:Tue,%2025%20Dec%202018%2011:17:37%20GMT	http://localhost:8080/wp-json/	/home/thiago/websites/jeova/localhost_8080/wp-json/index.html	(from http://localhost:8080/)
09:17:43	10455/10455	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Dec%202018%2011:17:39%20GMT	http://localhost:8080/wp-content/themes/thiago/images/bg.jpg	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/thiago/images/bg.11.delayed	(from http://localhost:8080/)
09:17:43	11773/11773	---M--	200	added ('OK')	image/png	etag:%222dfd-57da260496fcd%22	http://localhost:8080/wp-content/themes/thiago/images/logo.png	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/thiago/images/logo.png	(from http://localhost:8080/)
09:17:44	29120/29120	---M-Z	200	added ('OK')	application/javascript	etag:%2271c0-57da2605343a5-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/js/bootstrap.min.js?ver=20120206	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/js/bootstrap.min11a8.js	(from http://localhost:8080/)
09:17:45	13062/13062	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:45%20GMT	http://localhost:8080/citacoes/	/home/thiago/websites/jeova/localhost_8080/citacoes/index.html	(from http://localhost:8080/)
09:17:45	11005/11005	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:45%20GMT	http://localhost:8080/author/thiago/	/home/thiago/websites/jeova/localhost_8080/author/thiago/index.html	(from http://localhost:8080/)
09:17:45	70637/70637	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:45%20GMT	http://localhost:8080/escandalos/pedofilia/	/home/thiago/websites/jeova/localhost_8080/escandalos/pedofilia/index.html	(from http://localhost:8080/)
09:17:47	87848/87848	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:45%20GMT	http://localhost:8080/doutrina/desassociacao/	/home/thiago/websites/jeova/localhost_8080/doutrina/desassociacao/index.html	(from http://localhost:8080/)
09:17:49	26366/26366	---M-Z	200	added ('OK')	application/javascript	etag:%2266fe-57da260537286-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/js/jquery.knob.js?ver=20120206	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/js/jquery.knob11a8.js	(from http://localhost:8080/)
09:17:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Dec%202018%2011:17:47%20GMT	http://localhost:8080/luz-que-clareia-mais-e-mais/	/home/thiago/websites/jeova/localhost_8080/luz-que-clareia-mais-e-mais/index.html	(from http://localhost:8080/)
09:17:49	156068/156068	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:47%20GMT	http://localhost:8080/doutrina/transfusoes-de-sangue/	/home/thiago/websites/jeova/localhost_8080/doutrina/transfusoes-de-sangue/index.html	(from http://localhost:8080/)
09:17:49	70620/70620	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:48%20GMT	http://localhost:8080/mudancas/geracao/	/home/thiago/websites/jeova/localhost_8080/mudancas/geracao/index.html	(from http://localhost:8080/)
09:17:51	43485/43485	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:50%20GMT	http://localhost:8080/doutrina/mediador-somente-para-144-mil/	/home/thiago/websites/jeova/localhost_8080/doutrina/mediador-somente-para-144-mil/index.html	(from http://localhost:8080/)
09:17:51	31692/31692	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:50%20GMT	http://localhost:8080/doutrina/144-mil-literal-ou-figurativo/	/home/thiago/websites/jeova/localhost_8080/doutrina/144-mil-literal-ou-figurativo/index.html	(from http://localhost:8080/)
09:17:51	69336/69336	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:50%20GMT	http://localhost:8080/doutrina/grande-multidao-outras-ovelhas/	/home/thiago/websites/jeova/localhost_8080/doutrina/grande-multidao-outras-ovelhas/index.html	(from http://localhost:8080/)
09:17:51	7980/7980	---M-Z	200	added ('OK')	application/javascript	etag:%221f2c-57da260538227-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/js/smoothscroll.js?ver=20120206	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/js/smoothscroll11a8.js	(from http://localhost:8080/)
09:17:53	66916/66916	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:52%20GMT	http://localhost:8080/doutrina/paraiso-na-terra/	/home/thiago/websites/jeova/localhost_8080/doutrina/paraiso-na-terra/index.html	(from http://localhost:8080/)
09:17:53	9114/9114	---M-Z	200	added ('OK')	application/javascript	etag:%22239a-57da260538227-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/js/scrollReveal.js?ver=20120206	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/js/scrollReveal11a8.js	(from http://localhost:8080/)
09:17:53	16496/16496	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:52%20GMT	http://localhost:8080/doutrina/607-1914-sete-tempos/	/home/thiago/websites/jeova/localhost_8080/doutrina/607-1914-sete-tempos/index.html	(from http://localhost:8080/)
09:17:53	55034/55034	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:52%20GMT	http://localhost:8080/doutrina/ultimos-dias/	/home/thiago/websites/jeova/localhost_8080/doutrina/ultimos-dias/index.html	(from http://localhost:8080/)
09:17:55	35913/35913	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:54%20GMT	http://localhost:8080/fundamentos/1919-como-foi-calculado/	/home/thiago/websites/jeova/localhost_8080/fundamentos/1919-como-foi-calculado/index.html	(from http://localhost:8080/)
